term,match,file,line,category,action,context
CTC,ctc-simulation-stability-engine,module-manifest.json,5,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""id"": ""ctc-simulation-stability-engine"","
CTC,CTC,module-manifest.json,6,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""title"": ""CTC Simulation Stability Engine"","
CTC,ctc-simulation-stability-engine,module-manifest.json,8,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""file"": ""js/core/ctc-simulation-stability-engine.js"","
CTC,ctc-only,module-manifest.json,11,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""scope"": ""simulation-it-ctc-only"","
BPS,BPS,module-manifest.json,12,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""description"": ""Prüft CTC-Lohr Scope, Blockzeiten, Eingabeaufgaben, FlowLogic-Finalblock und Negativ-Scope gegen BPS/Training/andere Berufsfelder."""
CTC,CTC,module-manifest.json,12,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""description"": ""Prüft CTC-Lohr Scope, Blockzeiten, Eingabeaufgaben, FlowLogic-Finalblock und Negativ-Scope gegen BPS/Training/andere Berufsfelder."""
CTC,ctc-lohr-exam-structure-engine,module-manifest.json,15,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""id"": ""ctc-lohr-exam-structure-engine"","
CTC,CTC,module-manifest.json,16,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""title"": ""Phase29 CTC Admin Block Reporting Engine"","
CTC,ctc-lohr-exam-structure-engine,module-manifest.json,18,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""file"": ""js/core/ctc-lohr-exam-structure-engine.js"","
CTC,ctc-only,module-manifest.json,21,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""scope"": ""simulation-it-ctc-only"","
CTC,CTC,module-manifest.json,22,C,Kompatibilitätskritisch; nur mit Alias/Migration ändern,"""description"": ""Modelliert den echten CTC-Lohr Ablauf als 6-Blöcke-Prüfung mit Allgemeinwissen 7 Min, Mathe 22 Sek, Regelrechnung Eingabe, Buchstaben-Eingabe, Tabellen-Eingabe und 13-Minuten-FlowLogic."""
